Station,Name,Last Report,Time Since Report,Latitude,Longitude,5-min Precip,10-min Precip,30-min Precip,60-min Precip,3-hour Precip,12-hour Precip
6R6,DRYDEN,20250703042000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703042500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703043000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703043500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703044000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703044500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703045000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703045500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703050000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703050500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703051000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703051500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703052000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703052500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703053000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703053500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703054000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703054500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703055000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703055500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703060000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703060500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703061000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703061500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703062000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703062500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703063000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703063500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703064000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703064500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703065000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703065500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703070000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703070500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703071000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703071500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703072000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703072500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703073000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703073500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703074000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703074500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703075000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703075500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703080000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703080500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703081000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703081500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703082000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
