agency_cd	site_no	dec_lat_va	dec_long_va
USGS	8184050	29.74826667	-98.4076833
USGS	8185000	29.5941173	-98.3111523
USGS	8185065	29.50144444	-98.18625
USGS	8185100	29.44388889	-98.1688889
USGS	8185500	29.2797222	-98.0533333
USGS	8186000	29.01413629	-97.9303065
USGS	8186500	28.92025074	-97.7722462
USGS	8187500	28.81998007	-97.859168
USGS	8188060	28.84869444	-97.7371389
USGS	8188500	28.6492861	-97.3848583
USGS	8188570	28.53125	-97.0426944
USGS	8188590	28.50548889	-96.7814278
USGS	8188800	28.50582149	-96.8847203
USGS	8188810	28.4783224	-96.8627751
USGS	8189200	28.30360538	-97.1125039
USGS	8189298	28.51549167	-97.7813917
USGS	8189300	28.4830428	-97.6566862
USGS	8189320	28.381675	-97.5950167
USGS	8189500	28.29193875	-97.2791751
USGS	8189520	28.21693333	-97.3516944
USGS	8189585	28.411425	-97.7806222
USGS	8189590	28.39894167	-97.7476528
USGS	8189700	28.28249389	-97.6208513
USGS	8189718	28.04569167	-97.525175
USGS	818999010	29.71883333	-100.039575
USGS	8189998	29.52646667	-100.0183667
USGS	8190000	29.42856679	-99.997287
USGS	8190500	29.48108333	-100.2391667
